iter	Passed	Remaining
704	833	348
705	833	347
706	834	345
707	835	344
708	836	343
709	836	341
710	837	340
711	839	339
712	840	338
713	840	336
714	841	335
715	842	334
716	843	332
717	844	331
718	844	330
719	845	328
720	846	327
721	847	326
722	847	324
723	848	323
724	849	322
725	850	320
726	851	319
727	851	318
728	852	317
729	854	315
730	855	314
731	856	313
732	856	312
733	857	310
734	858	309
735	859	308
736	860	307
737	861	305
738	862	304
739	863	303
740	864	301
741	864	300
742	865	299
743	866	298
744	867	296
745	868	295
746	870	294
747	871	293
748	872	292
749	872	290
750	873	289
751	874	288
752	875	287
753	876	286
754	877	284
755	878	283
756	879	282
757	880	280
758	881	279
759	881	278
760	883	277
761	884	276
762	885	275
763	886	273
764	887	272
765	888	271
766	889	270
767	889	268
768	890	267
769	891	266
770	892	265
771	893	263
772	894	262
773	894	261
774	895	260
775	896	258
776	897	257
777	899	256
778	900	255
779	901	254
780	902	253
781	903	251
782	904	250
783	905	249
784	905	248
785	906	246
786	907	245
787	908	244
788	909	243
789	910	241
790	911	240
791	911	239
792	913	238
793	914	237
794	915	236
795	916	234
796	917	233
797	918	232
798	918	231
799	919	229
800	920	228
801	921	227
802	922	226
803	923	225
804	924	223
805	925	222
806	926	221
807	927	220
808	928	219
809	929	218
810	930	216
811	931	215
812	932	214
813	933	213
814	934	212
815	934	210
816	935	209
817	936	208
818	937	207
819	938	206
820	939	204
821	940	203
822	941	202
823	942	201
824	944	200
825	945	199
826	946	197
827	947	196
828	948	195
829	949	194
830	950	193
831	951	192
832	951	190
833	952	189
834	953	188
835	954	187
836	955	186
837	956	184
838	957	183
839	958	182
840	959	181
841	960	180
842	961	179
843	961	177
844	962	176
845	963	175
846	965	174
847	965	173
848	966	171
849	967	170
850	968	169
851	969	168
852	970	167
853	971	166
854	972	164
855	974	163
856	975	162
857	976	161
858	976	160
859	977	159
860	978	157
861	979	156
862	980	155
863	980	154
864	981	153
865	982	152
866	983	150
867	984	149
868	985	148
869	986	147
870	987	146
871	989	145
872	990	144
873	991	142
874	992	141
875	993	140
876	994	139
877	996	138
878	997	137
879	998	136
880	999	134
881	1000	133
882	1001	132
883	1003	131
884	1004	130
885	1005	129
886	1006	128
887	1007	127
888	1008	125
889	1009	124
890	1010	123
891	1011	122
892	1012	121
893	1013	120
894	1013	118
895	1014	117
896	1015	116
897	1016	115
898	1018	114
899	1019	113
900	1020	112
901	1021	110
902	1022	109
903	1023	108
904	1024	107
905	1025	106
906	1026	105
907	1027	104
908	1028	102
909	1029	101
910	1030	100
911	1031	99
912	1033	98
913	1034	97
914	1035	96
915	1036	95
916	1038	93
917	1039	92
918	1040	91
919	1041	90
920	1042	89
921	1043	88
922	1044	87
923	1045	86
924	1046	84
925	1048	83
926	1049	82
927	1050	81
928	1051	80
929	1052	79
930	1053	78
931	1054	76
932	1055	75
933	1056	74
934	1057	73
935	1057	72
936	1058	71
937	1059	70
938	1060	68
939	1062	67
940	1063	66
941	1064	65
942	1065	64
943	1066	63
944	1067	62
945	1068	60
946	1069	59
947	1070	58
948	1071	57
949	1072	56
950	1073	55
951	1075	54
952	1077	53
953	1079	52
954	1080	50
955	1081	49
956	1082	48
957	1083	47
958	1084	46
959	1085	45
960	1086	44
961	1087	42
962	1088	41
963	1089	40
964	1090	39
965	1091	38
966	1092	37
967	1094	36
968	1095	35
969	1096	33
970	1097	32
971	1098	31
972	1099	30
973	1100	29
974	1101	28
975	1102	27
976	1103	25
977	1104	24
978	1105	23
979	1107	22
980	1108	21
981	1109	20
982	1110	19
983	1111	18
984	1112	16
985	1112	15
986	1113	14
987	1114	13
988	1115	12
989	1116	11
990	1117	10
991	1118	9
992	1118	7
993	1119	6
994	1120	5
995	1121	4
996	1123	3
997	1124	2
998	1124	1
999	1125	0
